"location","source","target"
"/install.php?profile=ding2&locale=en&id=1&op=do","An <em>Audio</em> file is a sound recording.",""
"","Document",""
"/install.php?profile=ding2&locale=en&id=1&op=do","A <em>Document</em> file is written information.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","A field replacing file name.",""
"/index.php","Compact",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Reference preview",""
"","Tokens",""
"","Postal address",""
"","A field type used for storing postal addresses according the xNAL standard.",""
"","Store a date in the database as a datetime field, recommended for complete dates and times that may need timezone conversion.",""
"","Store a date in the database as an ISO date, recommended for historical or partial dates.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Store a date in the database as a timestamp, deprecated format to support legacy data.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Availability information.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Holdings information.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Action buttons.",""
"/index.php","Average rating",""
"/index.php","Average result of all ratings given to this entity",""
"/index.php","Rate this",""
"/index.php","Enables the users to rate this entity",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Issue list for periodicals.",""
"","This field stores and renders email addresses.",""
"","Entity Reference",""
"","This field reference another entity.",""
"","This field stores the ID of a file as an integer value.",""
"","This field stores the ID of an image file as an integer value.",""
"","List (integer)",""
"","This field stores integer values from a list of allowed 'value => label' pairs, i.e. 'Lifetime in days': 1 => 1 day, 7 => 1 week, 31 => 1 month.",""
"","List (float)",""
"","This field stores float values from a list of allowed 'value => label' pairs, i.e. 'Fraction': 0 => 0, .25 => 1/4, .75 => 3/4, 1 => 1.",""
"","List (text)",""
"","This field stores text values from a list of allowed 'value => label' pairs, i.e. 'US States': IL => Illinois, IA => Iowa, IN => Indiana.",""
"","Boolean",""
"","This field stores simple on/off or yes/no options.",""
"","Integer",""
"","This field stores a number in the database as an integer.",""
"","Decimal",""
"","This field stores a number in the database in a fixed decimal format.",""
"","Float",""
"","This field stores a number in the database in a floating point format.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Relation endpoint",""
"/install.php?profile=ding2&locale=en&id=1&op=do","This field contains the endpoints of the relation",""
"","Term reference",""
"","This field stores a reference to a taxonomy term.",""
"","Long text",""
"","This field stores long text in the database.",""
"","Long text and summary",""
"","This field stores long text in the database along with optional summary text.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting object title",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting object type",""
"/index.php","Ting object series",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting object abstract",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting object author",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting object subjects",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting collection primary object",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting collection listing",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting collection object types",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting cover",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Cover image from external services, if any.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material type",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material format",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material available in",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material language",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material spoken language",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material subtitles",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material genre",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material subject",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material classification",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material spatial",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material contributor",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material musician",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material tracks",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material referenced by",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material description",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material series description",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material original title",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material previous title",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material later title",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material ISBN no.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material URI",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material version",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material extent",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material publisher",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material rights",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material audience",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Material age",""
"/index.php","Material PEGI-mark",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting reference",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Stores relationships between Ting objects and Drupal entities.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting references",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Nodes referencing this Ting object.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","This field stores Workflow values for a certain Workflow type from a list of allowed 'value => label' pairs, i.e. 'Publishing': 1 => unpublished, 2 => draft, 3 => published.",""
"","Dynamic address form",""
"","Select list",""
"","Pop-up calendar",""
"","An autocomplete text field.",""
"","Autocomplete (Tags style)",""
"","Media file selector",""
"/install.php?profile=ding2&locale=en&id=1&op=do","OG reference",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Complex widget to reference groups.",""
"","Check boxes/radio buttons",""
"","Single on/off checkbox",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Endpoints table",""
"","Autocomplete term widget (tagging)",""
"","Text area (multiple rows)",""
"","Text area with a summary",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting reference (simple)",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting reference (advanced)",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Hidden (Automatic)",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Adaptive image",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Display the image using specific image styles for different browser widths.",""
"","Plain",""
"/install.php?profile=ding2&locale=en&id=1&op=do","With availability information",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Availability information with labels",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Show plaintext part of string",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ajaxified",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Calendar header",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ajax load",""
"","Default email link",""
"","Display the email address as a mailto link.",""
"","Email contact form",""
"","Display a contact form.",""
"","Email plain text",""
"","Display the email address as plain text.",""
"","Label",""
"","Display the label of the referenced entities.",""
"","Entity id",""
"","Display the id of the referenced entities.",""
"","Rendered entity",""
"","Display the referenced entities rendered by entity_view().",""
"","Table of files",""
"","URL to file",""
"","Rendered file",""
"","Display the file in a specific view mode",""
"","Download link",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Displays a link that will force the browser to download the file.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Download [file:name]",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Render the file using an HTML5 audio tag.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Render the file using an HTML5 video tag.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Default translated",""
"","Key",""
"","Large filetype icon",""
"/install.php?profile=ding2&locale=en&id=1&op=do","OEmbed",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Embeds links if possible - otherwise just links them.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","OG subscribe link",""
"/install.php?profile=ding2&locale=en&id=1&op=do","OG audience list",""
"/index.php","Full entities list",""
"","Plain text",""
"","RSS category",""
"","Trimmed",""
"","Summary or trimmed",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Creator search link",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Subject search link",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Series search link",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Part of manifestation search link",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Search link",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Displays the referenced Ting object with a specific display mode.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Create a simple link to the file. The link is prefixed by a file type icon and the name of the file is used as the link text",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Build a two-column table where the first column contains a generic link to the file and the second column displays the size of the file.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Display a plain text URL to the file.",""
"/index.php","Format the file as an image. The image can be displayed using an image style and can optionally be linked to the image file itself or its parent content.",""
"","Default SQL storage",""
"","Stores fields in the local SQL database, using per-field tables.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Virtual field field storage",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Throws away field data.",""
"","Workflow History",""
"","Nodes",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Nodes represent the main site content items.",""
"","Users who have created accounts on your site.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Uploaded file.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Remark or note that refers to a node.",""
"","Taxonomy terms",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Taxonomy terms are used for classifying content.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Taxonomy vocabularies",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Vocabularies contain related taxonomy terms, which are used for classifying content.",""
"","Determine the language from the URL (Path prefix or domain).",""
"","Session",""
"","Determine the language from a request/session parameter.",""
"","Follow the user's language preference.",""
"","Browser",""
"","Determine the language from the browser's language settings.",""
"","Interface",""
"","Use the detected interface language.",""
"","URL fallback",""
"","Use an already detected language for URLs if none is found.",""
"","Use the default site language (@language_name).",""
"","User interface text",""
"","Order of language detection methods for user interface text. If a translation of user interface text is available in the detected language, it will be displayed.",""
"","Order of language detection methods for content. If a version of content is available in the detected language, it will be displayed.",""
"","Administer blocks",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Override %type_name published option.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Override %type_name promote to front page option.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Override %type_name sticky option.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Override %type_name revision option.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Enter %type_name revision log entry.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Override %type_name authored on option.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Override %type_name authored by option.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Change own logout threshold",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Selected users will be able to edit there own logout threshold.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Administer Autologout",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Administer the autologout settings",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Administer block access settings",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Access the block administration page",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Allow access to the block administration page. This does not stop users from configuring individual blocks (for example through the ""Configure block"" contextual link).",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Create blocks",""
"/install.php?profile=ding2&locale=en&id=1&op=do","View all blocks",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Move all blocks",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Enable all blocks",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Disable all blocks",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Delete all blocks",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Configure all blocks",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Configure all language settings",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Configure all block titles",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Configure all block descriptions",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Configure all block body fields",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Configure all region settings",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Configure all visibility settings",""
"/install.php?profile=ding2&locale=en&id=1&op=do","This must be checked for the individual visibility permissions to work. It will also override any individual visibility settings if not checked.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Configure all user visibility settings",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Configure all role visibility settings",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Configure all page visibility settings",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Configure all content type visibility settings",""
"bpi.module:186","Administer BPI settings",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Set the web-service end-point and configure the service.",""
"bpi.module:190","Syndicate content",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Pull content from the service.",""
"bpi.module:194","Push content",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Push content to the service.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Delete content",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Delete content at the service.",""
"bpi.module:198","View statistics",""
"/install.php?profile=ding2&locale=en&id=1&op=do","View usage statistics.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Clone any node",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Clone own nodes.",""
"","Administer comments and comment settings",""
"","Skip comment approval",""
"","Use contextual links",""
"","Use contextual links to perform actions related to elements on a page.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Use CTools importer",""
"/install.php?profile=ding2&locale=en&id=1&op=do","The import functionality allows users to execute arbitrary PHP code, so extreme caution must be taken.",""
"","Administer custom content",""
"","Add, edit and delete CTools custom stored custom content",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Administer promoting to frontpage",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Administer user with role: %role",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Edit user with this role.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Administer Ding provider",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Allow role to configure provider settings.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Perform reservation",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Perform reservation in the library system.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Set globle dynamic backgrounds",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Access dynamic backgrounds css",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Re-order dynamic backgrounds weight",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Configure dynamic backgrounds",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Administer Entity Types",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Grants the ability to administer(add/edit/delete/view) any ECK Entity Type.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Add Entity Types",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Edit Entity Types",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Delete Entity Types",""
"/install.php?profile=ding2&locale=en&id=1&op=do","View Entity Type List",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Administer Bundles",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Grants the ability to administer(add/edit/delete/list) any ECK Bundle.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Add Bundles",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Grants the ability to add new bundles to any Entity type.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Edit Bundles",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Delete Bundles",""
"/install.php?profile=ding2&locale=en&id=1&op=do","View Bundle Lists",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Administer Entities",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Add Entities",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Grants the ability to add new entities of any Entity type.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Edit Any Entity",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Delete Any Entity",""
"/install.php?profile=ding2&locale=en&id=1&op=do","View Any Entity",""
"/install.php?profile=ding2&locale=en&id=1&op=do","View Entity Lists",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Grants the ability to view the list of entities displayed on any bundle page.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Bypass file access control",""
"/install.php?profile=ding2&locale=en&id=1&op=do","View, edit and delete all files regardless of permission restrictions.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Administer file types",""
"","Administer files",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Add and upload new files",""
"/install.php?profile=ding2&locale=en&id=1&op=do","View own private files",""
"/install.php?profile=ding2&locale=en&id=1&op=do","View own files",""
"/install.php?profile=ding2&locale=en&id=1&op=do","View private files",""
"/install.php?profile=ding2&locale=en&id=1&op=do","View files",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Includes the following stream wrappers: %wrappers.",""
"","%type_name: Edit own files",""
"","%type_name: Edit any files",""
"","%type_name: Delete own files",""
"","%type_name: Delete any files",""
"","%type_name: Download own files",""
"","%type_name: Download any files",""
"","Administer text formats and filters",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Define how text is handled by combining filters into <a href=""@url"">text formats</a>.",""
"","Vocabulary terms",""
"","All the terms in a vocabulary.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","User links",""
"/install.php?profile=ding2&locale=en&id=1&op=do","User links of the referenced user.",""
"","The picture of a user.",""
"","User profile",""
"","The profile of a user.",""
"","User signature",""
"","The signature of a user.",""
"","Term description.",""
"","List of related terms",""
"","Terms related to an existing term; may be child, siblings or top level.",""
"","Term name",""
"/install.php?profile=ding2&locale=en&id=1&op=do","The name of this taxonomy term.",""
"","Advanced search form",""
"","A search form with advanced options.",""
"","Keywords",""
"","Widgets",""
"","The results of a search using keywords.",""
"","Add the action links (local tasks) as content.",""
"","Page elements",""
"","Add the breadcrumb trail as content.",""
"","Feed icons",""
"","Add the site feed_icons statement as content.",""
"","Add the help text of the current page as content.",""
"","Site logo",""
"","Add the logo trail as content.",""
"","Status messages",""
"","Add the status messages of the current page as content.",""
"","Primary navigation links",""
"","Add the primary_links (local tasks) as content.",""
"","Secondary navigation links",""
"","Add the secondary_links (local tasks) as content.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","The name of the site, optionally links to the front page.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Add the site's slogan as content.",""
"","Add the tabs (local tasks) as content.",""
"","Add the page title as content.",""
"","Node form author information",""
"","Author information on the Node form.",""
"","Node form submit buttons",""
"","Submit buttons for the node form.",""
"","Node form comment settings",""
"","Comment settings on the Node form.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Node form languages",""
"/install.php?profile=ding2&locale=en&id=1&op=do","The language selection form.",""
"","Node form revision log message",""
"","Revision log message for the node.",""
"","Node form menu settings",""
"","Menu settings on the Node form.",""
"","Node form url path settings",""
"","Publishing options on the Node form.",""
"","Node form publishing options",""
"","Node form title field",""
"","The node title form.",""
"","Attached files",""
"","A list of files attached to the node.",""
"","Node author",""
"","The author of the referenced node.",""
"","Node body",""
"","The body of the referenced node.",""
"","Comment form",""
"","A form to add a new comment.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Comments and comment form.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","The comments and comment form for the referenced node.",""
"","Node comments",""
"","The comments of the referenced node.",""
"","Node content",""
"","The content of the referenced node.",""
"","Node created date",""
"","The date the referenced node was created.",""
"","Node links",""
"","Node links of the referenced node.",""
"","Node terms",""
"","Taxonomy terms of the referenced node.",""
"","Node title",""
"","The title of the referenced node.",""
"","Node type description",""
"","Node type description.",""
"","Node last updated date",""
"","The date the referenced node was last updated.",""
"","Existing node",""
"","Add a node from your site as content.",""
"","Entity field",""
"","General form",""
"","Everything in the form that is not displayed by other content.",""
"","Entity extra field",""
"","Custom content",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Comment created date",""
"/install.php?profile=ding2&locale=en&id=1&op=do","The date the referenced comment was created.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Comment links",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Comment links of the referenced comment.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Comment Reply Form",""
"/install.php?profile=ding2&locale=en&id=1&op=do","A form to add a new comment reply.",""
"/index.php","Ding Entity Rating: Popular",""
"/index.php","Popular objects, from openlist data.",""
"ting_search_carousel.info:0 ding_ekurser.info:0 ting_oembed.info:0, ting_oembed_features/ting_oembed_features.info:0","Ding!",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ding Facetbrowser",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ding facetbrowser description",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ding taxonomy menu",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Generates links based on a taxonomy.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Taxonomy term id",""
"","Group",""
"/index.php","All terms",""
"/index.php","Add list to list",""
"/index.php","Add list to list.",""
"/index.php","Dinglist",""
"/index.php","Add term to list",""
"/index.php","Add term to list.",""
"/index.php","Edit ding list",""
"/index.php","Edit list.",""
"/index.php","Create list",""
"/index.php","Ding list followers",""
"/index.php","Ding list.",""
"/index.php","Ding list info",""
"/index.php","Ding list menu",""
"/index.php","Ding menu.",""
"/index.php","Lists",""
"/index.php","Lists.",""
"/index.php","List manager",""
"/index.php","List manger",""
"ding_list/plugins/content_types/private_share.inc:12","Private list sharer",""
"/index.php","Add search to list",""
"/index.php","Add search query to list.",""
"/index.php","Share ding list",""
"/index.php","Share list.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","User loan list",""
